vendor,framing,new_rate,original_rate,new_n,original_n,new_n_decept,original_n_decept,new_short,original_short,delta
DeepSeek,A,0.12990196078431374,0.3382352941176471,408,408,53,138,V3.2,r1,-0.20833333333333334
DeepSeek,B,0.25735294117647056,0.4362745098039216,408,408,105,178,V3.2,r1,-0.178921568627451
DeepSeek,C,0.18137254901960784,0.4264705882352941,408,408,74,174,V3.2,r1,-0.24509803921568626
DeepSeek,D,0.4264705882352941,0.5490196078431373,408,408,174,224,V3.2,r1,-0.1225490196078432
Google,A,0.3235294117647059,0.5147058823529411,408,408,132,210,gemini-3,gemini-2,-0.19117647058823523
Google,B,0.4387254901960784,0.6397058823529411,408,408,179,261,gemini-3,gemini-2,-0.2009803921568627
Google,C,0.42892156862745096,0.49264705882352944,408,408,175,201,gemini-3,gemini-2,-0.06372549019607848
Google,D,0.5686274509803921,0.6348039215686274,408,408,232,259,gemini-3,gemini-2,-0.06617647058823528
OpenAI,A,0.012254901960784314,0.13480392156862744,408,408,5,55,gpt-5.4,gpt-4o,-0.12254901960784313
OpenAI,B,0.007352941176470588,0.3431372549019608,408,408,3,140,gpt-5.4,gpt-4o,-0.3357843137254902
OpenAI,C,0.01715686274509804,0.20833333333333334,408,408,7,85,gpt-5.4,gpt-4o,-0.1911764705882353
OpenAI,D,0.022058823529411766,0.42401960784313725,408,408,9,173,gpt-5.4,gpt-4o,-0.4019607843137255
Qwen,A,0.007352941176470588,0.48284313725490197,408,408,3,197,qwen3.5-9b,qwen2.5-7b,-0.4754901960784314
Qwen,B,0.02696078431372549,0.4852941176470588,408,408,11,198,qwen3.5-9b,qwen2.5-7b,-0.4583333333333333
Qwen,C,0.03676470588235294,0.4950980392156863,408,408,15,202,qwen3.5-9b,qwen2.5-7b,-0.45833333333333337
Qwen,D,0.07352941176470588,0.5441176470588235,408,408,30,222,qwen3.5-9b,qwen2.5-7b,-0.4705882352941176
